Portfolio,Sharpe (ann.),"CER (%, ann., gamma=5)",Max drawdown (%),Hit rate (%),Avg quarterly turnover
Static,0.370947499482221,0.6073325033083964,-24.22757833245761,51.0,0.7745202181391614
Benchmark (EW),0.7203726923065964,3.288087695147606,-13.233599946427066,,0.03605488685938814
LASSO (matched Sigma),0.719013093923714,5.118371846303947,-22.372442842379904,57.00000000000001,0.45276705598879596
LASSO (own rolling Sigma),0.764423684337837,5.716493475438219,-24.5963963896237,57.00000000000001,0.4638627801728793
Kalman (RW),0.7896839282936121,6.0725442237597305,-24.166165963701005,57.00000000000001,0.5080634892763204
Kalman (MR),0.7253823138312965,5.248638657828883,-24.192612695281756,57.25,0.3220137079973963
