date,MKT_RF,SMB,HML,RMW,CMA,RF,CPI_YoY,UNRATE,VIX,PMI_proxy_INDPRO_YoY,TERM_SPREAD_10Y2Y,REAL_M2_YoY
1990-06-30,0.03654135065599995,-0.01477610501499993,-0.08232826459999998,0.024653539503999955,-0.02993506569999993,0.02013352559599979,5.237315875613735,5.2,20.062272727272727,0.7451289008624462,0.01,1.0547451842125577
1990-09-30,-0.17224256917000003,-0.10286888121999993,0.020979084775999857,-0.005496938559999998,0.101438934398,0.01952554927999972,4.673650282030639,5.2,16.82238095238095,1.7298125132548803,0.19,1.3973103765974493
1990-12-31,0.06905819131999968,-0.04471258071999995,-0.044169656968000126,0.06528625067599991,-0.06830250144999994,0.01861399255999996,6.169871794871806,5.9,29.10736842105263,2.229147315019908,0.8,-0.8742197342932467
1991-03-31,0.15234907578299994,0.12162110369399981,-0.03363643288000007,0.007525441807999966,-0.05342639996199994,0.01446906982399998,6.254948535233562,6.3,23.363,-1.1405030076012013,0.93,-2.3252096897525276
1991-06-30,-0.01746567668400012,0.007919614700000022,0.020526443215999945,0.04552061707499999,-0.00899785988800006,0.014267014622000085,4.821150855365497,6.8,17.74421052631579,-3.61869587651098,1.03,-0.6579005504511071
1991-09-30,0.04962499948800003,0.019922116399999856,-0.03284149320999996,0.0064999427999998804,-0.017946898431999925,0.014166343683999827,4.695919938414161,6.9,17.134999999999998,-2.037136646180182,1.34,-0.37783780469275996
1991-12-31,0.07573910051999988,-0.024465767320000165,-0.06329650945300003,0.030809988949999978,-0.035464633040000026,0.011947222244000022,3.396226415094339,6.9,16.9565,-1.1640559598299127,1.48,-0.3041063496428076
1992-03-31,-0.021795599353999995,0.0962504571699998,0.15374809193299988,-0.011601585086000177,0.07494555875000009,0.009630632368000214,2.980625931445613,7.3,18.347619047619048,0.7336733229858172,1.94,0.08547364670188351
1992-06-30,-0.009691931910000173,-0.0816800259999999,0.08937192030400021,0.006645500089999867,0.03879326719999998,0.009228188672000037,3.189910979228472,7.4,17.520454545454545,3.4616952793256273,1.94,-0.6991421265090003
1992-09-30,0.025156254284000035,-0.005723410855000055,-0.017814115620999993,0.06635004682399992,-0.03256452174400004,0.008322900955999968,3.0147058823529305,7.8,15.203181818181816,2.563756841098086,2.31,-1.724610195302101
1992-12-31,0.0681182208840001,0.07800935017999966,-0.009215094656000011,0.0012022741520001379,-0.016661696626000033,0.007418184811999851,2.9927007299270114,7.6,13.696666666666667,2.1710235537090616,2.57,-1.302407583107379
1993-03-31,0.033955018912000146,-0.01406723840199997,0.14183125231999982,-0.025758756460000032,0.08091148482000032,0.00701632264999974,2.966714905933454,7.4,12.191363636363635,4.152288897664813,2.14,-1.3692461152435498
1993-06-30,0.0005111056499997879,0.012356231432000264,0.016154167280000076,-0.04700028010599999,0.014996811176000158,0.007116793200000027,3.0194104960460155,7.0,13.60608695652174,3.8911814838072933,2.07,-2.7084814067489527
1993-09-30,0.032433111775999945,0.04092199193599999,0.02807833601599996,-0.030903620799999976,0.018968474419999826,0.007518755599999816,2.9978586723768963,7.0,12.524090909090908,2.8411547715022856,1.77,-1.5086519300581913
1993-12-31,0.011659162710000004,0.01882730058999993,-0.03297161790000014,0.03985431292600006,-0.008241028119999827,0.007016322649999962,2.7639971651311157,6.7,12.931428571428572,2.833713227717971,1.51,-1.4940701950581836
1994-03-31,-0.04555007438500014,0.015122324929999875,0.012259867759999876,0.01161269791999997,0.018330073825999937,0.0073176841750000055,2.8109627547435068,6.5,11.356363636363637,3.407732938414032,1.58,-1.3197238404824785
1994-06-30,-0.018144798976000187,-0.03967081480000001,0.04080138292000002,0.02764535559999981,0.03273042599999987,0.009026956784000006,2.6517794836008246,6.5,15.223478260869564,4.013742016462052,1.56,-0.6302022988154632
1994-09-30,0.04514827300799995,0.022406892511999787,-0.03730159454499993,0.008752877792000069,-0.003765881120000203,0.010234448332000046,2.494802494802495,6.1,13.408636363636363,5.692891278467149,1.15,-1.382573552392119
