,Static - Unconstrained,Static - Beta-neutral,Kalman (RW) - Unconstrained,Kalman (RW) - Beta-neutral,Kalman (MR) - Unconstrained,Kalman (MR) - Beta-neutral,LASSO - Unconstrained,Benchmark (EW) - Unconstrained,LASSO - Beta-neutral,Benchmark (EW) - Beta-neutral
2000-03-31,-0.1475884940156029,-0.14512826837179282,-0.019473896622468623,0.001734786986687796,-0.14677752551140974,-0.1545250510494894,-0.11632984818548517,-0.018379921161800015,-0.15794324134523402,-0.029671178019749996
2000-06-30,0.06312791448852736,0.06572136441603017,-0.008950529300501803,0.0017480878792352772,0.04645913870637117,0.08184058824726939,0.0355122055440184,0.007372568385599941,0.08508944449399103,0.02489276247699995
2000-09-30,0.17040666227800655,0.1481641744214286,0.17375135876794295,0.16142966305665754,0.17617808818953307,0.1616467097940828,0.15873311640647025,0.053259309241999966,0.1536614713029607,0.06983008576849993
2000-12-31,0.32156964493265283,0.30408409300464107,0.3808932959676748,0.45431688053654545,0.3763655712498453,0.48340715024792313,0.31462968392875307,0.11909162483800001,0.4310764794775981,0.17925976597749999
2001-03-31,-0.05562289639366043,-0.030518431451692668,0.06541207656472929,0.1402812304706989,0.009367154539775914,0.15821967684198898,0.01695965345326804,0.04892766554619998,0.15323930448510575,0.09576156146399997
2001-06-30,0.019290963727872316,0.03901935849539437,0.01580016136362642,0.025484032051402112,0.018097083427688725,0.03456110257018663,0.0021437104451392103,0.018173663441000024,0.00320129937146333,0.006302787913250052
2001-09-30,-0.05637586690373676,-0.19539212903342856,0.11924849201216735,0.14800800834577515,0.1509017537576688,0.1798148415244516,0.12253525664118049,0.033791784662600036,0.21057202586091925,0.08438499074825004
2001-12-31,0.05871863081791914,0.10941226912104762,-0.038364172513468006,-0.055885460513871735,-0.027047309034797656,-0.05633427392349283,-0.018223602544673118,0.010859965877399956,-0.044658630952292104,-0.016352321599250052
2002-03-31,0.009509032973893747,-0.17390069416484533,0.15830151868835252,0.15101602945221576,0.171770792813703,0.16718695812631867,0.1564864354676428,0.06463772282699999,0.1683728848735933,0.07980591334174995
2002-06-30,-0.12994319431515924,-0.21747484945494963,0.11197728054060277,0.18483185532109608,0.09508352853046644,0.17158129408145484,0.07687361064451105,0.04410854654359998,0.19520908882787855,0.0882838229015
2002-09-30,-0.10292215436973357,0.024790165874899822,-0.08962436402886303,0.008215937102016863,-0.10584887269721657,0.001696786516774535,-0.1267044313808517,-0.03465083319480006,-0.011993756810890422,-0.00013461706850009976
2002-12-31,0.07060377661778755,0.024601544126995,0.035825946047406805,-0.02052030204107938,0.04743308257284906,-0.014611316340890818,0.04576365117521563,0.002699946602000061,-0.012060389208514745,-0.015838740731499948
2003-03-31,-0.04876957332967433,-0.036317492898815536,-0.018494961701014893,0.009402530824031344,-0.022378881028837228,0.005439963047692396,-0.021990156642924134,-0.012471588082600023,0.013061725075370373,-0.007190329214250026
2003-06-30,0.11041609106064651,0.06155493799337138,0.08220398339014254,0.025288795337166735,0.07208178144712515,2.4740178295352966e-06,0.07109982842020633,0.03781430650559996,-0.015835192991925214,0.006382924536999953
2003-09-30,-0.0117466730513629,-0.019489596484310107,0.070611802206656,0.08604768798548962,0.04521071458960152,0.05283404589719418,0.028521632609563276,0.02001289160120006,0.03811810785484662,0.01647653496050005
2003-12-31,0.06612811619490094,0.007536056609872888,0.10592015313613143,0.049084011440399845,0.10178422488552633,0.04073953572341706,0.11275138410145415,0.04730837682859988,0.035960611280267674,0.028824600455749874
2004-03-31,0.03512083471135632,0.03273478101328667,0.032007220725305485,0.03196262253330622,0.030417604697969804,0.029122217672789455,0.023884415765781222,0.0214021472391999,0.018301035073469897,0.02122057734899985
2004-06-30,0.025895786880281157,0.026750816171153175,-0.00971597418912912,-0.012421368757364487,-0.007215837119664843,-0.00897811858787459,-0.008790772436324402,-0.0015390559545999747,-0.010843131453569892,-0.0048893713092499685
2004-09-30,0.03424956909109426,0.03961400966387532,-0.04226133309973007,-0.04004058144739664,-0.036447860683876857,-0.03235009744392977,-0.03801258384322584,0.00220071995259998,-0.034523679552765967,0.008817509220749977
2004-12-31,0.04267104483329259,0.025227404925110147,0.05023947942731107,0.015206106684111244,0.050722879844195885,0.014366657446859563,0.056001384251519765,0.02690183213159994,0.026096140486375048,0.009553753873
2005-03-31,-0.01981343633594591,-0.019632794576093765,0.0040768849826863345,-0.0021290016885780676,0.00805400262498029,0.003630684858002257,0.011460845770035248,0.00865454482120006,0.005774610128886254,0.017902959001500077
2005-06-30,-0.009670697023709708,-0.010541708444529008,0.012398218217488934,0.012969457471845424,0.007780079841957508,0.006201852386393994,0.008329372137122346,0.010826185421999979,0.003282437666720279,0.009681132827500001
2005-09-30,-0.01721059617629498,-0.017361906235686723,-0.0006954363234025615,-0.009775015342914249,-0.005397605132924661,-0.016968844952225517,-0.0010793248227577816,0.004185615663200019,-0.018939048534152632,-0.002682455940999925
2005-12-31,-0.035548696109193346,-0.03554153168707539,-0.018462089101293638,-0.025444737150215856,-0.02015349070896595,-0.027881314277130774,-0.01603361231855229,-0.007347093515799961,-0.024833393281311133,-0.012315778758749975
2006-03-31,0.06355926584672357,0.06352819220462255,0.03890911080311639,0.05595759575343889,0.03200015866475388,0.045746611357714476,0.024880717155238978,0.0287854909922,0.03346655698430573,0.02540459529775
2006-06-30,-0.013327782028349687,-0.015080814500489374,0.010266757479042835,0.0004970121981357316,0.012511062136979363,0.003549937577397553,0.02614752059303735,0.00749020396100006,0.02131707677238713,0.017328449053250025
2006-09-30,0.022037224561655584,0.01596675929838564,0.03997384817423784,-0.004937737492119624,0.04793783303815048,0.004931741619846802,0.055235140876987,0.006629972963599921,0.013125783927615847,0.0005193027304999012
2006-12-31,0.013513873757967285,0.016320554925108675,0.047895957232261546,0.019428346806762423,0.04650594719180719,0.017003541298644703,0.04991643204391803,0.0218554798716,0.014117616709790264,0.012651786614500001
2007-03-31,0.011675652794560705,0.010675158100137958,-0.006853735173687249,0.001499531933777277,-0.006209189198860599,0.0022831479645551885,-0.010650609181382486,-0.0015113264031999802,-0.002411623129147317,-0.002135762902
2007-06-30,0.015849639401893715,0.017359874860730064,0.0348283160122863,0.006008556864735809,0.036309511039368435,0.007933806687745343,0.04530273656254907,0.00719408762840002,0.013114671926993879,-0.00287976974049995
2007-09-30,-0.0767118489059026,-0.07886360805000728,-0.06101600737599438,-0.07593026681736656,-0.061326658947982185,-0.07637827179699452,-0.04444780615624923,-0.038113236151599963,-0.06085654550067489,-0.048427520265499985
2007-12-31,-0.023121733221831017,-0.024613753707554,-0.024716127001917294,-0.006278251180534666,-0.02644723360753489,-0.008866388305296121,-0.024684578184894123,-0.02032426826339996,0.00014909252578660694,-0.015557871589249952
2008-03-31,0.02021104989863649,0.020209336314826683,-0.01900241838309072,0.030234537082286253,-0.018376162667621942,0.03469484590308687,-0.018581931164850705,-0.003007856452399942,0.03421602969872512,0.02141041370250005
2008-06-30,0.005746276537319971,0.009667623958997923,0.0029799306044079737,0.0379842108705163,0.0013834279134011702,0.03957843813879035,-0.007072767480121575,0.0009623384934000613,0.03824856749831283,0.007246233742000101
2008-09-30,0.08945416822798352,0.10355780585312879,0.0157452249214071,0.0704945954098028,0.015366816228863888,0.07730691032906624,0.029276304545846878,0.03589947151379994,0.0516796567697682,0.06650766961099988
2008-12-31,-0.04244140650347641,-0.006246180542270288,-0.0961129883037452,-0.0011338683289017102,-0.06865444392801215,0.04371200329396417,-0.11615792081904677,-0.048493825637199936,0.059980902501935114,-0.004975796186499949
2009-03-31,-0.13243138254280695,-0.08706834737636457,-0.08332651974238364,-0.02203678494392949,-0.10760271260939624,-0.04786960229590716,-0.08732852765309818,-0.06393375491739997,-0.024301463536845903,-0.05499647957825
2009-06-30,0.09612138311094282,0.050902043809261784,0.05400115980085498,0.0037389549227914848,0.07648687354233519,0.022472523256339312,0.07132876939564464,0.04726469927279989,0.021469820309453824,0.0181168362709999
2009-09-30,0.17110431221355268,0.11475221494762737,0.13059414880800962,0.06518953249551655,0.12086204160482236,0.053107403559813596,0.10451800934889058,0.07974521938519998,0.009661740489187894,0.06000673954749999
2009-12-31,0.039036529832293776,-0.007764902358139775,0.03778559281116389,0.0013531611843242645,0.05183868267857985,0.01976925732824539,0.05892961872196394,0.00731257555780002,0.025164474472121244,-0.005126363687749999
2010-03-31,0.06739946315972885,0.05160241021994524,0.049468296028990486,0.027644833713974977,0.05193054736263571,0.030187702090442983,0.04166385990570365,0.03502493839439998,0.025012830811993687,0.028226671980499975
2010-06-30,-0.0361673764368784,-0.002211985918584744,-0.037644073325497004,0.02411316068593347,-0.03410728855569353,0.029652120794239102,-0.04357249543693559,-0.022826569594400062,0.031142188762583345,-0.00030678849300009984
2010-09-30,0.028060119046035528,-0.045510543386040256,0.07653287081076897,0.028672367129726536,0.07525916608210037,0.019912048037927874,0.09479644019270463,0.01647332463599998,0.036368851609293845,-0.008267639150000027
2010-12-31,0.005989402090270456,-0.0326105106947433,0.10512716928097592,0.07049251582407748,0.09566809516426251,0.057566996593144404,0.10421167462741501,0.039532602710800065,0.0628063624095519,0.020394347862000076
