,MKT_RF,SMB,HML,RMW,CMA,95% CV
r = 0,42.87660309933999,42.139794173682695,44.102822047941714,52.32341875836381,40.28089729120221,37.1646
r <= 1,31.706701728079985,37.11239400718246,34.64135203858108,25.265767813663324,28.766930432516883,30.8151
r <= 2,21.716757835997523,18.772259267267607,27.86207897840076,19.81184391623752,26.13976566678573,24.2522
r <= 3,6.90931439030205,4.293686371396977,6.924384190688979,6.491851849787667,6.809434104273599,17.1481
r <= 4,2.75657997065952,1.9734310369796495,1.00368167397957,2.3124729025166353,2.102618208843061,3.8415
