Portfolio,Sharpe (ann.),"CER (%, ann., gamma=5)",Max drawdown (%),Hit rate (%),Avg quarterly turnover
Static,0.03753607354125185,-4.66146084777506,-23.24995895152824,45.38461538461539,0.7972912188447666
Benchmark (EW),0.39082016167695754,1.51777586874737,-4.372724074139511,,0.0458318258227394
LASSO (matched Sigma),0.3388375304064516,-0.9849382704971571,-16.050389623226614,48.46153846153845,0.6234867511939487
LASSO (own rolling Sigma),0.3460150630174914,-0.49722008995296896,-16.22104891732995,48.46153846153845,0.5762603459232302
Kalman (RW),0.4983617479742515,1.3791199144985304,-12.345495865507061,50.76923076923077,0.6782384502644427
Kalman (MR),0.5049800048481909,1.5445764012150476,-13.162700690577477,49.999999999999986,0.4100444617932612
