Portfolio,Sharpe (ann.),"CER (%, ann., gamma=5)",Max drawdown (%),Hit rate (%),Avg quarterly turnover
Static,-0.12657621383136433,-6.138718817254418,-63.35821934770467,48.34905660377359,0.7746416369698124
Benchmark (EW),0.3863669548889451,1.491751875559679,-23.793027087871586,,0.029079788888143453
LASSO (matched Sigma),0.38985139111110434,0.4270992932202594,-38.31191298866642,50.943396226415096,0.5123587560148246
LASSO (own rolling Sigma),0.3629790385151529,0.2550832401984282,-38.42306461102793,50.943396226415096,0.5617768523595055
Kalman (RW),0.4299606663361699,1.0700329542778468,-40.57125423891279,51.886792452830186,0.6858839855903455
Kalman (MR),0.4001405315089019,0.3874098243453264,-39.685132178102435,51.886792452830186,0.30214587682146987
