Portfolio,Sharpe (ann.),"CER (%, ann., gamma=5)",Max drawdown (%),Avg quarterly turnover
Static - Unconstrained,0.03753607354125185,-4.66146084777506,-23.24995895152824,0.7972912188447666
Static - Beta-neutral,-0.8608085251357802,-14.287977276645686,-45.296328431380495,0.9918039880350018
Kalman (RW) - Unconstrained,0.4983617479742515,1.3791199144985304,-12.345495865507061,0.6782384502644427
Kalman (RW) - Beta-neutral,-0.01630413769627113,-6.018719657757203,-40.57125423891279,0.8710880401740997
Kalman (MR) - Unconstrained,0.5049800048481909,1.5445764012150476,-13.162700690577477,0.4100444617932612
Kalman (MR) - Beta-neutral,-0.04174760569970412,-6.106519725795683,-39.685132178102435,0.3797115562830919
LASSO - Unconstrained,0.3460150630174914,-0.49722008995296896,-16.22104891732995,0.5762603459232302
Benchmark (EW) - Unconstrained,0.39082016167695754,1.51777586874737,-4.372724074139511,0.0458318258227394
LASSO - Beta-neutral,-0.28948125465927416,-6.20306151452399,-38.423064611027925,0.6828701428494328
Benchmark (EW) - Beta-neutral,0.07553961482739124,-1.4559409701110815,-15.51763198158067,0.036368905481095615
