Portfolio,Sharpe (ann.),"CER (%, ann., gamma=5)",Max drawdown (%),Hit rate (%),Avg quarterly turnover
Static,0.2829046788961877,-0.6590710144936853,-24.22757833245761,49.622641509433954,0.7801055579348759
Benchmark (EW),0.6068754574937814,2.8677939672082506,-14.582092870645669,,0.03845300396360637
LASSO (matched Sigma),0.6096580619982193,3.6595976269355077,-22.372442842379904,54.90566037735849,0.49464169820892767
LASSO (own rolling Sigma),0.6500026966393982,4.217525132565175,-24.5963963896237,54.90566037735849,0.49143199441353147
Kalman (RW),0.7053860976052082,4.975645237067113,-24.166165963701005,55.471698113207545,0.5498045174432183
Kalman (MR),0.6653128256496387,4.3964085743187375,-24.192612695281756,55.471698113207545,0.34360615704166514
