,MKT_RF,SMB,HML,RMW,CMA
1975-03-31,0.0,-2.7755575615628914e-17,-1.3877787807814457e-17,0.0,6.938893903907228e-18
1975-06-30,0.0,0.0,3.469446951953614e-18,-3.469446951953614e-18,-6.938893903907228e-18
1975-09-30,-5.551115123125783e-17,-2.7755575615628914e-17,0.0,0.0,0.0
1975-12-31,-7.216449660063518e-16,1.1102230246251565e-16,-1.1102230246251565e-16,4.423544863740858e-17,-4.597017211338539e-17
1976-03-31,8.881784197001252e-16,0.0,0.0,-2.5673907444456745e-16,7.771561172376096e-16
1976-06-30,-4.884981308350689e-15,2.498001805406602e-16,-5.551115123125783e-15,1.0408340855860843e-15,7.216449660063518e-16
1976-09-30,0.004887491993635418,-0.008891373824479326,-0.024642722331639777,0.001282873579741061,-0.02098537583811351
1976-12-31,-0.00034485224862945696,0.011017273807547523,0.010567149459585784,-0.004226706755559924,0.00459991975782624
1977-03-31,-0.002738457377780501,0.03127824591994255,0.020910768316525274,-0.009512513454634143,0.007346910862673375
1977-06-30,0.029975088549012985,0.000652646976092186,0.010062030832914681,-0.005445526279531668,0.00594310701899925
1977-09-30,0.010832969023078953,0.009991704769480803,-0.004585584045293134,0.006290461870352003,-0.004260980738443804
1977-12-31,0.002477866121102401,0.013019562127162154,0.01040025728639854,0.0016414625421365472,-0.0027655137808285032
1978-03-31,0.00659187666944322,0.01805083250748918,0.01790224420786385,-0.008158652272139154,0.009781808415334117
1978-06-30,0.04286477347965795,-0.0007641477034368016,-0.002728080860829596,-0.00037429265026094755,-0.0004821546237159108
1978-09-30,0.04082973969313153,-0.012363239581606678,0.006820175425805097,0.0038278704818190193,0.005550452382695831
1978-12-31,-0.010158567472482116,-0.02687619578577294,-0.007251931175162152,0.0042942460205072225,-0.009886530830858636
1979-03-31,0.011794637372961436,0.013222161559386159,0.003831371373386294,-0.00812223556885908,-0.0014042595885453146
1979-06-30,0.010793251252777636,0.0018074032333301737,0.01163782521258988,-0.0070513933097962785,-0.0008091858208305464
1979-09-30,-0.0008040496993262369,-0.006924867842141191,-0.004236958726308027,0.005260604043174133,0.0014344683898791233
1979-12-31,-0.01823991598029684,-0.0018803157282947236,-0.01241918133782055,0.003215073536822299,-0.0017966484234283597
1980-03-31,-0.02117349108583977,0.007241040256394937,-0.016369914483621795,0.005230828708721394,-0.0060345666272705045
1980-06-30,0.0022727922277077095,0.014145022756386294,-0.008415144237090666,0.0030969508302914547,-0.010447651109137118
1980-09-30,0.008730032835397639,0.013604789857246335,-0.038846615140441326,0.013040724383209096,-0.01850005354250768
1980-12-31,-0.00394183801664405,0.0035975887042783983,-0.019078755152242804,0.005773384508971011,-0.01255725878219431
1981-03-31,-0.019183109506179408,0.00754756398656109,0.023158555177711287,-0.0069040184377582164,0.01042417711362606
1981-06-30,-0.02301619733803628,0.0061459132359420465,0.020602793993979684,-0.0006340188957466505,0.006212644128546774
1981-09-30,-0.033628782307586313,-0.007702704819855577,0.020720951268495214,0.001120951994593368,0.0023025300936288934
1981-12-31,-0.005200676492990164,-0.0028460376564306555,-0.0029626104727499825,0.005463293073561373,-0.001073115315132711
1982-03-31,-0.03193734226611583,-0.006647090714357096,0.020723049686868777,-0.008335936792103517,0.015422592913344968
1982-06-30,-0.005000767321864885,0.0009554199929650009,-0.006590068299911989,0.002266990052168724,0.0032621887386589943
1982-09-30,0.0014273189789420493,-0.00862197502383466,0.001188589461669165,0.002758997351598118,0.0030299290867387696
1982-12-31,0.023328150221603283,0.0013180613103759287,-0.020650194533171573,-0.0001560917297811007,-0.0011631094449668367
1983-03-31,0.03614955812885334,0.008816630959732619,-0.011938866296341277,-0.0032008198656727285,0.004280192949326689
1983-06-30,0.038215200020032314,0.010072294906174672,-0.0243945287935729,0.0005680064036135864,-0.003576131359610435
1983-09-30,-0.012001641047183487,-0.009377053248885936,0.01992383976088835,0.0030771820498452646,0.007698718442089136
1983-12-31,-0.018846870587444053,-0.009942937699207732,0.009312264095817535,0.0009467357602304105,0.005776109839088828
1984-03-31,-0.020973456795442713,-0.009954181882497748,0.019980824537545017,-0.000611517320222299,0.00875528998274272
1984-06-30,-0.02102315138149924,-0.0058923648780084825,-0.0070946168039461854,0.01186439067798134,-0.007016618119143558
1984-09-30,0.003863846053920983,-0.009901559171818786,-0.0017705816354871562,0.007496510306008092,-0.007631677421625849
1984-12-31,-0.0025233122719081624,-0.010898628091981832,0.0031452014362669534,0.005535264385400307,-0.005739559205222289
1985-03-31,0.015499061713541318,-0.00448290155301323,-0.012616207333734364,0.004399145769902774,-0.004963145291642046
1985-06-30,0.005688728046072122,-0.005913525099782602,-0.002133888277856877,0.004326085545821812,-0.007396645922780942
1985-09-30,-0.015451931109809802,-0.004090721039577083,-0.003987202379928667,0.0006426486623475336,0.00103306244825907
1985-12-31,0.018513445593352995,-0.0062862377355743515,-0.013751270925659864,0.0014961602294985554,-0.012411930790031445
1986-03-31,0.025604382256273706,-0.004758877677805473,-0.009814618884613102,-0.00028403790597480993,-0.010582069423571205
1986-06-30,0.009239244437304395,-0.0036107013186490455,-0.007326345828540304,0.004090315493212426,-0.004038315051737906
1986-09-30,-0.02436161150602978,-0.008832603877419465,0.019956464875454216,-0.005989824994111159,0.01407682344004757
1986-12-31,-0.003919872638249555,-0.011050471323240885,-0.002289068549004236,0.001660478381270425,0.005733077559227029
1987-03-31,0.03454323986805785,-0.0038289068463244202,-0.020517242966283766,0.0016532261062974785,0.0014939363659967064
1987-06-30,0.008014025551043247,-0.01544893267675218,-0.0011053031008766423,0.004927595793462136,0.007985491022410696
1987-09-30,0.004508037760702077,-0.006615075573427109,-0.0035683720339587666,0.0009506122383978743,0.0031687012399796433
1987-12-31,-0.0629053002007467,-0.01423418326834347,0.0011589546584529486,0.0048900494021751895,-0.0006254878284214782
1988-03-31,-0.004911561035605416,0.006028351003095844,0.0029004988046451574,-0.0007503260068805195,0.005322644621090333
1988-06-30,0.004743069837187308,-0.0013725902608521245,0.0007655919660169985,-0.0005710020329480203,-0.004849109588194067
1988-09-30,-0.005095809906053628,-0.00699555143165731,0.005227844411412996,0.0005877648017036385,0.002763883809750789
1988-12-31,-0.0036305736220267892,-0.008186107278182142,-0.0004697396085951988,0.000883892115322249,0.0026788716518564293
1989-03-31,0.007983226945215804,-0.0008402202797166414,0.003302440495091985,-0.0025542776885021934,0.004330774906224799
1989-06-30,0.010337199330703317,-0.0018639444045618347,-0.00028934893053877975,0.0012386636738910828,0.0004047539964383562
1989-09-30,0.0147811926631769,-0.004866917646044633,-0.008805271016074867,0.004042685903223264,-0.003033578099074896
1989-12-31,-0.000632539130016152,-0.0122401516583438,-0.007754295278548651,-0.0008256668087912589,0.0029112664115240605
1990-03-31,-0.012265828934478806,0.0014431794596010405,-0.005383784182562468,-0.00017290464606506406,-0.00181059817408169
1990-06-30,0.004994279091390608,-0.00771817999409663,-0.017437258588231308,0.00395588815449921,-0.006255446739408921
1990-09-30,-0.030342273041958245,-0.014619926625671242,-0.004583435043636119,-0.0017194911288191395,0.012840336126719198
1990-12-31,-0.0057973214595021805,0.0019229240423748184,-0.0036678813697732515,0.0011820569566001193,-0.004026424044927923
1991-03-31,0.021375530440542745,0.007246198801794446,-0.010042801560149028,0.0021457502783117643,-0.013274323354852569
1991-06-30,0.00108298400810658,-0.005541744690474415,-0.0030763040955019694,0.006884578472949876,-0.007754424365228885
1991-09-30,0.004390013730138698,0.002373282975606239,-0.011103296422692699,9.62460593663117e-05,-0.007147615517589911
1991-12-31,0.0075057100358006945,-0.0025705920262237836,-0.015528126160730737,0.002045633891507692,-0.007964339597914372
1992-03-31,-0.004864834596228995,0.008730621922414028,0.017441475383767724,-0.0017074401509146186,0.007268338235428162
1992-06-30,-0.00797774852330524,-0.01308888764266014,0.01549170969012148,0.0009196279219146897,0.0074319283052401985
1992-09-30,-0.004944671050675309,-0.00085365985692476,-0.0022433793179662542,0.004766583442314953,-0.0037790367652805745
1992-12-31,0.005622063388948106,0.007892257465842656,-0.007522372196214433,-0.0007930859346255703,-0.006396156685780752
1993-03-31,0.0030086060835963213,-0.004162610022663049,0.014700232982369221,-0.001971432858622335,0.008396507121960384
1993-06-30,-0.004405778519276815,0.0007524174748063661,0.002186955283416947,-0.006974060764529222,0.002645862341098759
