,MKT_RF,SMB,HML,RMW,CMA
1975-03-31,-0.04194770409141732,-0.44986462654340587,-0.07220531601118857,0.1963086198846959,0.03610146020166368
1975-06-30,0.11410768997231288,-0.43560260697943476,-0.13291547553358546,0.16316252243593712,0.009744817029390757
1975-09-30,-0.06040891276312699,-0.4210375845765366,-0.133625835618084,0.16963467498066043,0.006588507857147846
1975-12-31,-0.02752264549205552,-0.47039027908749476,-0.1033747911901845,0.14386348954756745,0.044626715200869874
1976-03-31,0.11288027263785444,-0.35772464607818144,0.016223733113547606,0.08608083670923604,0.09845129877322459
1976-06-30,0.10181300037478558,-0.3871990905403728,-0.009294701368288055,0.09185223660918604,0.06621342853690215
1976-09-30,0.06954234637299683,-0.38966035872432125,0.002316500674100136,0.07260168959272512,0.04186280880217526
1976-12-31,0.09271437113730646,-0.34932292354395095,0.014829423984062035,0.03420883261458664,0.04043712600881139
1977-03-31,-0.012238324411172175,-0.2613938889737939,0.060089245014557924,0.009365757399971336,0.045185808994400334
1977-06-30,-0.0117890880295628,-0.2128046057881624,0.08061092231426592,-0.012542626538718626,0.031902292880401834
1977-09-30,-0.07102035602243256,-0.1672627463522972,0.02952585414207881,0.0015959484873858051,0.0074811417322250134
1977-12-31,-0.0758579929987967,-0.119715432131276,0.02644584410654155,-0.001807269527118474,-0.013350628995134582
1978-03-31,-0.14623245973119553,-0.016668474526319477,0.06695625845155889,-0.03450025612526912,0.022219626844266996
1978-06-30,-0.08734717865076497,0.04104364997606169,0.01688314750158182,-0.029971660768671016,-0.0006695061193126156
1978-09-30,-0.025261378044192484,0.08316107955781449,0.0027067121837221486,-0.017519888773240847,-0.0003447964278435883
1978-12-31,-0.13163875057047292,0.016229305749139167,-0.03810136222508259,0.00584841071024522,-0.023710368439133128
1979-03-31,-0.08073102787989372,0.08672998496582507,-0.020917750119857803,-0.031338482417854016,-0.0019432587781323812
1979-06-30,-0.07663652432888901,0.11157418428048893,0.005296459239869322,-0.06061696194878668,-0.01780989542149486
1979-09-30,-0.0127166226326475,0.1006440786600239,-0.023981684270721726,-0.0522976152115687,-0.04213144673500906
1979-12-31,0.01707384583644489,0.043124195164714774,-0.13030694854958452,-0.0608461524426336,-0.10276202766322379
1980-03-31,-0.08060830027156973,-0.051463618460713345,-0.11973173895746086,-0.07661134197643746,-0.0713451947087684
1980-06-30,0.0721957005837564,-0.055719235789225996,-0.1179598284922011,-0.0962812539658714,-0.08885737152764933
1980-09-30,0.15506986134258072,0.02223143137607353,-0.2630174307639004,-0.029856535987093154,-0.1608275923615065
1980-12-31,0.18745775104402135,0.022349312497020546,-0.3387254117366229,0.01183237815844583,-0.21312137278625765
1981-03-31,0.20299316208796175,0.048208506995390366,-0.24555103360624425,-0.03770203736662795,-0.14914936263300013
1981-06-30,0.16590378664180183,0.08972073990510365,-0.1751796018079985,-0.040498427585447916,-0.1266185581181977
1981-09-30,-0.003844407916106185,0.02841718282607375,-0.07356912905343332,-0.03184855023478532,-0.10608290705733694
1981-12-31,0.043035037202885096,0.034304526380443456,-0.09150938503506734,-0.0023959936673003807,-0.10461720625358001
1982-03-31,-0.08887674533244999,0.030877603450331637,0.02672881562283841,-0.07747983818056223,-0.026818304533345716
1982-06-30,-0.17085007485291953,0.08396202566747157,0.039833439241441504,-0.05727973253480055,0.007331053579748947
1982-09-30,-0.0655159491124277,0.0231444526851865,0.02721018075520454,-0.05750002192507819,-0.003449042462911528
1982-12-31,0.06487337861064901,0.08517626196943229,-0.048144365726428495,-0.08345436778029089,-0.012632753457346046
1983-03-31,0.1018676716582746,0.19567732275219973,-0.028640151148695336,-0.11681836913530097,0.01912506187389401
1983-06-30,0.15805347512294943,0.29991105409479935,-0.07857411132870801,-0.12184189840073277,0.011213746266146601
1983-09-30,0.12055742458142393,0.2481724632950344,0.02187703484871506,-0.11677147587772,0.045879224713920475
1983-12-31,0.08471412485673935,0.21452527839569335,0.06381207311596893,-0.12751823436936272,0.08013570482278937
1984-03-31,-0.004830429369431788,0.20941251928874915,0.1641584858013776,-0.14811790873810707,0.12598273981212388
1984-06-30,-0.0571513679445792,0.18673681879026194,0.12829380136970225,-0.07482699980899055,0.09276837278200367
1984-09-30,-0.024377855349899558,0.17035544224576027,0.14716089496905538,-0.04997811546648087,0.0695597201421918
1984-12-31,-0.05549233223339778,0.14505003176316134,0.17449097302646455,-0.03024199719227111,0.054513256280378175
