,r (obs var),q (state var)
MKT_RF,0.0014994922447193499,0.00022338442511762296
SMB,0.0005504861411590285,0.00014244027961836343
HML,0.0007915530291006303,0.00010260807646669337
RMW,0.00015669022075061664,4.030658308880134e-05
CMA,0.00027699921800864954,3.916155458548423e-05
