Factor,delta,delta_se (HAC),p-value (HAC),R2,N obs
MKT_RF,-0.1903564529410994,0.03301873702376759,8.160750134892671e-09,0.11746710009572103,205
SMB,-0.08481343422329547,0.020117053005440224,2.48677114391016e-05,0.06247941652565825,205
HML,-0.12692517520670676,0.05576325534625867,0.022837417941325634,0.0587460295800557,205
RMW,-0.12904207151633612,0.054789501219426925,0.018511067159606102,0.06842228737212463,205
CMA,-0.10808035331525502,0.04771983939240703,0.023519216712636157,0.0498918196240844,205
