,MKT_RF,SMB,HML,RMW,CMA,95% CV
r = 0,105.96595702437907,104.2915648565094,114.5343189295921,106.20535524056896,104.09964570362148,79.3422
r <= 1,63.08935392503907,62.15177068282669,70.43149688165039,53.88193648220515,63.818748412419275,55.2459
r <= 2,31.382652196959093,25.039376675644235,35.79014484306931,28.61616866854182,35.05181797990239,35.0116
r <= 3,9.665894360961572,6.267117408376627,7.928065864668549,8.804324752304304,8.91205231311666,18.3985
r <= 4,2.75657997065952,1.9734310369796495,1.00368167397957,2.3124729025166353,2.102618208843061,3.8415
