Portfolio,Sharpe (ann.),"CER (%, ann., gamma=5)",Max drawdown (%),Hit rate (%),Avg quarterly turnover
Static,-0.8608085251357802,-14.287977276645686,-45.296328431380495,38.46153846153847,0.9918039880350018
Benchmark (EW),0.07553961482739124,-1.4559409701110815,-15.51763198158067,,0.036368905481095615
LASSO (matched Sigma),-0.11462435413227551,-5.769884711861156,-38.31191298866643,43.269230769230774,0.7203354151354493
LASSO (own rolling Sigma),-0.28948125465927416,-6.20306151452399,-38.423064611027925,43.269230769230774,0.6828701428494328
Kalman (RW),-0.01630413769627113,-6.018719657757203,-40.57125423891279,46.15384615384615,0.8710880401740997
Kalman (MR),-0.04174760569970412,-6.106519725795683,-39.685132178102435,45.192307692307686,0.3797115562830919
