Portfolio,Sharpe (ann.),"CER (%, ann., gamma=3)",Max drawdown (%),Avg quarterly turnover
Melone Static - Unconstrained,0.11771385970965811,-1.994748089585651,-24.144686516608093,1.1766236735079416
Melone Static - Beta-neutral,-0.28275702504499717,-8.14237881768524,-42.31390994544274,1.075243271152918
Melone Kalman - Unconstrained,0.6384169621415344,6.411902942415773,-15.11934254055286,0.6772382194189495
Melone Kalman - Beta-neutral,0.07321820711618837,-1.4831998688181078,-31.689652095804867,1.1198919949510548
FS Static - Unconstrained,-0.13279669337903988,-6.3064910157826155,-46.03241807986915,0.740294145555507
FS Static - Beta-neutral,-0.19941252849095784,-7.037316692556389,-45.354308232458315,0.6031879772204122
FS Kalman - Unconstrained,0.6016954886705901,5.842117597315722,-14.280125803773513,0.4293974010537581
FS Kalman - Beta-neutral,0.021273320812741255,-2.269250989812479,-36.306609093513565,0.633882330439524
LASSO - Unconstrained,0.16272282218321707,-2.587817314608091,-26.526747639549285,1.844696692182985
Benchmark (EW) - Unconstrained,0.39082016167695754,2.229603439657037,-4.372724074139511,0.0458318258227394
LASSO - Beta-neutral,0.03143826303379243,-3.2528361590900876,-25.582768453968363,1.4655230857725448
Benchmark (EW) - Beta-neutral,0.07553961482739124,-0.5928514892466503,-15.51763198158067,0.036368905481095615
