,r (obs var),q (state var),phi
MKT_RF,0.0008839100900279278,0.0002467598928663599,0.7792853919190275
SMB,0.0009560489141760232,8.271679872289274e-05,0.9740453415544766
HML,0.0002422753061216092,0.00017716565014268192,0.7391984302185816
RMW,0.00018136246899800806,3.357051928252233e-05,0.8512366280425634
CMA,0.0001271587654270825,6.943733261871983e-05,0.777440224502298
