Factor,Drivers,const,trend,VIX,PMI_proxy_INDPRO_YoY,CPI_YoY,R2,N obs,TERM_SPREAD_10Y2Y,UNRATE,REAL_M2_YoY
MKT_RF,"VIX, PMI_proxy_INDPRO_YoY, CPI_YoY",0.01573771999702671,0.09570426118079725,-0.0037461503945230507,-0.0011170460048786882,-0.0007017911322680813,0.9346465315497374,145,,,
SMB,"VIX, TERM_SPREAD_10Y2Y, UNRATE",0.1286689128526279,-0.013333032122040995,0.002146540479945484,,,0.7494517419583484,145,0.024548675415998866,-0.009336352419006036,
HML,"CPI_YoY, TERM_SPREAD_10Y2Y, PMI_proxy_INDPRO_YoY",-0.29559981648549916,-0.041707854975331735,,0.004970060979961005,0.0107220117565182,0.6836508206007221,145,0.010431628887222735,,
RMW,"VIX, REAL_M2_YoY, UNRATE",0.058512888010501724,-0.006129853522734171,0.0011117139119784637,,,0.9515979512905284,145,,-0.0007697944125202159,-0.0006935973213312713
CMA,"CPI_YoY, TERM_SPREAD_10Y2Y, REAL_M2_YoY",-0.11084217998932624,0.0026929368622205197,,,0.002282459821417389,0.7150162748726028,145,0.0024237076234974427,,-0.0013952518295206858
