,Melone Static - Unconstrained,Melone Static - Beta-neutral,Melone Kalman - Unconstrained,Melone Kalman - Beta-neutral,FS Static - Unconstrained,FS Static - Beta-neutral,FS Kalman - Unconstrained,FS Kalman - Beta-neutral,LASSO - Unconstrained,Benchmark (EW) - Unconstrained,LASSO - Beta-neutral,Benchmark (EW) - Beta-neutral
2000-03-31,-0.09172132273408955,-0.16163470993282086,0.07607253361097731,0.12377339992758953,,,,,0.00010840520404254567,-0.018379921161800015,-0.022639939310748786,-0.029671178019749996
2000-06-30,-0.005051096473545801,-0.006305485566490146,-0.0672888342583339,-0.07274568787988875,0.01616424205445259,0.02360300380509134,-0.018453266188558477,-0.05240161333150603,-0.010999946467164401,0.007372568385599941,-0.023082299917401704,0.02489276247699995
2000-09-30,0.07160352704951287,-0.021027716181212908,0.05000103170665272,-0.023523829396325885,0.08042771600495037,-0.0034578928200555414,0.0416929426903766,-0.02933613319728856,0.04983108644386866,0.053259309241999966,-0.06691640695385635,0.06983008576849993
2000-12-31,-0.18860368663619548,-0.160958206859635,-0.057959239550835595,-0.037037824534482955,-0.08366508858398411,-0.09189937513549601,0.07717062893735196,0.01783214892941748,0.15319238693698153,0.11909162483800001,0.23638811057692818,0.17925976597749999
2001-03-31,-0.06897892843308845,-0.06414380435110277,-0.04670040000093792,0.05848414753663979,-0.14059113441305435,-0.09281027612333184,-0.05032268015679603,0.07034598979149098,-0.07291537227582967,0.04892766554619998,0.09586884725703634,0.09576156146399997
2001-06-30,-0.035067878818634546,-0.04732301460181954,0.010460349800519367,-0.007674305545240963,-0.0014370132353705989,-0.045152649999814866,0.0028415517520033046,-0.019287367902788788,0.018711278660110957,0.018173663441000024,-0.026042618535514324,0.006302787913250052
2001-09-30,-0.06622286058672194,-0.10372411221697692,0.13307950383849293,0.15256973328909654,0.03867894296097771,-0.0007993982117251684,0.11247779313306622,0.16624199334017092,0.06577211081646872,0.033791784662600036,0.12944747906393436,0.08438499074825004
2001-12-31,-0.004666528252438339,-0.021579164338298956,-0.013481591153972933,-0.05269517062823957,0.02532310957900913,0.0159051159277763,-0.012535284860304474,-0.05494851648723208,-0.020030239959132196,0.010859965877399956,-0.05593120016969879,-0.016352321599250052
2002-03-31,0.03396353669247636,-0.11424042304313814,0.17444289083249873,0.11224965812012436,0.016241345089331893,-0.10639269264225787,0.1697207027021419,0.14458998491448696,-0.02261314023296989,0.06463772282699999,-0.03770799472663783,0.07980591334174995
2002-06-30,-0.10326092084773733,-0.17127481303244835,0.11174887134571027,0.18759316903042006,-0.1005556569345778,-0.10060383147051835,0.05753332187050933,0.10457603706899217,0.01893166824048568,0.04410854654359998,0.013395321985025105,0.0882838229015
2002-09-30,-0.20245460470128862,-0.011903746348913408,-0.22492639058247918,-0.060945615506477466,-0.14437151640344992,-0.04708298688866716,-0.22174602393152062,-0.037950381997666136,-0.05440221181281898,-0.03465083319480006,0.04962901881540071,-0.00013461706850009976
2002-12-31,0.09798852107874523,0.035772893901173934,0.05224900814085528,-0.02865717965300366,0.0983613110710386,0.03602079703779619,0.009420712472958226,-0.06330894891179181,-0.005095451643983614,0.002699946602000061,0.003953474383217222,-0.015838740731499948
2003-03-31,-0.021379681005800164,0.0006001534242160477,0.009838312060919206,0.04694407424490254,-0.03702957179718635,-0.028091298823976825,0.005898455151635793,0.041026849010780124,0.0026791052370662496,-0.012471588082600023,0.0013924267700801771,-0.007190329214250026
2003-06-30,0.09262761752721049,-0.011116191018655127,0.024302943063638838,-0.06856037686811389,0.13913696801980338,0.07993736077832603,0.06340941146314902,-0.027097232432941612,-0.05660649592480231,0.03781430650559996,-0.0697682502454561,0.006382924536999953
2003-09-30,0.02337513314923935,0.0076139309051270684,0.05328134896978268,0.05553816164464204,0.04552023929120229,0.04390425288751057,0.05858540389860384,0.07124569996252574,0.059055741607839274,0.02001289160120006,0.06018908435470947,0.01647653496050005
2003-12-31,0.07565190439460162,-0.00048695224793091074,0.1097577933405918,0.027816124773291543,0.022100049122911292,0.0268475057648234,0.11043909844657723,0.023244177392562307,0.059907353474968075,0.04730837682859988,0.009758696428519911,0.028824600455749874
2004-03-31,0.01168853317549313,0.005381251716476692,0.02294552017372287,0.024732584877522997,0.01209372803948935,0.015885820562476987,0.02138054805851511,0.0215307836495028,0.014974868125846159,0.0214021472391999,0.010922258639373648,0.02122057734899985
2004-06-30,0.011918740148226713,0.012604381832629498,0.0021392592013923795,-0.0011652690217855196,0.0017298006276512887,0.0017209359146666235,-0.0020598389407182616,-0.008980565741958033,-0.001701423208132033,-0.0015390559545999747,-0.024515711218477433,-0.0048893713092499685
2004-09-30,-0.07103072051494094,-0.056174227816624914,-0.02532650819586995,0.022645511472811068,-0.06802636994352756,-0.06165315807678261,-0.05768419894823071,-0.03901698339701763,-0.05451669385136643,0.00220071995259998,-0.06063962883156803,0.008817509220749977
2004-12-31,0.04637616633626283,0.013325000495995061,0.03209550474901542,-0.002873405883998339,0.03970513054509543,0.018056145227414486,0.05456859951428414,0.00945133156159599,0.0554828540107352,0.02690183213159994,0.01614198311113402,0.009553753873
2005-03-31,-0.035506275645156744,-0.03564994739246578,0.045243986247756204,0.06665327633325216,-0.044329590892643246,-0.043910142204555774,0.0019962022980805592,0.01860151684921647,-0.0077890863197248045,0.00865454482120006,-0.00693493032735139,0.017902959001500077
2005-06-30,-0.01171659054658902,-0.015110393060724118,0.03200317713272042,0.040641846554289124,-0.020085018362395894,-0.02322210719116494,0.018963511947651723,0.029112845860334337,0.007675721902764676,0.010826185421999979,0.005159533800444093,0.009681132827500001
