,MKT_RF,SMB,HML,RMW,CMA,95% CV
r = 0,34.058148533294336,46.04876918327641,32.30756661609121,35.83033598805797,38.323979772179236,37.1646
r <= 1,25.859004479143454,22.82626593321002,24.796206274590556,26.391638585794865,23.95576595014946,30.8151
r <= 2,17.878794898492266,15.657696390660671,18.751761389954464,15.441910799329973,17.7495912591663,24.2522
r <= 3,7.46567356338158,7.365527394419915,8.717724573117163,6.142152669733495,8.20089263932858,17.1481
r <= 4,0.5395576947491532,0.27979619460339294,1.755428045775358,0.3180314419800366,0.2985057445174046,3.8415
