,r (obs var),q (state var)
MKT_RF,0.0019192707944816361,0.00011292459742799796
SMB,0.0011957169928721511,4.152378475555307e-05
HML,0.0009957326484192393,6.348691892656288e-05
RMW,6.317142477599072e-05,7.076559066030732e-05
CMA,0.0007057851152864026,1.0217118742024226e-06
