,MKT_RF,SMB,HML,RMW,CMA
1990-03-31,-6.938893903907228e-18,3.469446951953614e-18,-3.469446951953614e-18,1.734723475976807e-18,-4.336808689942018e-19
1990-06-30,0.0,-4.336808689942018e-18,-1.3877787807814457e-17,0.0,-6.938893903907228e-18
1990-09-30,-2.7755575615628914e-17,-1.3877787807814457e-17,2.7755575615628914e-17,-2.7755575615628914e-17,4.163336342344337e-17
1990-12-31,4.440892098500626e-16,-8.326672684688674e-17,5.551115123125783e-17,-4.163336342344337e-17,-1.6653345369377348e-16
1991-03-31,-6.661338147750939e-16,1.1934897514720433e-15,6.938893903907228e-16,-1.1102230246251565e-16,2.0816681711721685e-16
1991-06-30,1.1018963519404679e-14,-4.704570066849101e-15,1.915134717478395e-15,-2.1094237467877974e-15,2.7755575615628914e-17
1991-09-30,0.018686501299639086,0.010641920650734556,-0.010279168831445029,-0.0014092635269407627,-0.0072741724632121585
1991-12-31,0.008326342397832392,0.003334557638762961,-0.0031492073828911227,0.0013151076776048432,-0.005425316022357463
1992-03-31,0.003262139621924287,0.021481179653652052,0.0245686362178619,-0.0020505684617978526,0.012694471040241753
1992-06-30,0.004387926299810288,-0.013118336650087534,-0.0071250936680211235,0.0005813111671464366,-0.0030417681557726936
1992-09-30,0.007454635531388587,0.0048252522794628855,-0.025537905500741656,0.0024235845657149258,-0.017512294506184592
1992-12-31,0.009319580788041404,0.013914996654145986,-0.021908667427955678,-0.0019887041754308166,-0.005456541137422846
1993-03-31,0.012246524083717542,-0.003861742170253424,0.01259560589681756,-0.0016875948286864395,0.015697616708636217
1993-06-30,0.014508294626528417,0.017716506878479026,-0.005304936771385271,-0.004987304158186184,-0.006463561330780437
1993-09-30,0.030824119744937595,0.03361805633669712,-0.012381592674183983,-0.0009807624935085357,-0.02077423250200007
1993-12-31,0.019024155447623203,0.021349386648588348,-0.026911104217160448,0.004205499426567116,-0.02942215012679472
1994-03-31,-0.009091563688620352,0.0026099169581699916,-0.014374480046362326,0.0017370850015973605,-0.019750726583977737
1994-06-30,-0.015331877819194345,-0.02171884813654823,0.0023243007978342445,0.0018486335616661465,0.0001987573490965372
1994-09-30,-0.005271730886075493,0.0003331741746523398,-0.007639686366334386,1.2087875325778041e-05,0.005821635312592763
1994-12-31,-0.028478361802243973,-0.0304280594627217,-0.00720224531624486,-7.467429993351926e-05,0.01013372039763645
1995-03-31,0.0013552380391280705,-0.03276775516432181,0.01200846075095488,-0.0004911068455511758,0.012454019785497164
1995-06-30,0.04562417152797832,0.008219522356030955,0.016866427732507572,0.0001215121429271604,-0.01482834908789877
1995-09-30,0.05442139909132093,0.026620317520704165,0.017578274787142828,-0.0002221687692066654,-0.016066226822679247
1995-12-31,0.03143252319032014,0.0025119012879256664,0.014012929700612603,-0.00035762102660638617,0.009618720437483713
1996-03-31,0.024806051405910634,0.01708821117793293,0.010087137572218713,0.0005680474955712111,-0.0052929457592174045
1996-06-30,0.013479063069731123,0.030042720068693997,-0.004833957108609191,0.0011786766530420545,-0.021786161268633558
1996-09-30,0.005772077697043909,0.004830163728806871,0.0022429529366308765,0.001543770618829765,-0.03669578615848193
1996-12-31,0.0014975757328045125,-0.007060018614383368,0.020111932565753277,0.000661340987129555,-0.0029633798004017053
1997-03-31,-0.0053054782058633565,-0.007523849690733053,0.016206419932606908,0.000529285129680257,0.011057939737305372
1997-06-30,0.026518417452421117,0.003338922020712176,-0.00537584666388552,0.0006687471110389809,-0.028734373051826245
1997-09-30,0.005824177638495742,0.022831403797176228,0.001949569906671278,-0.0009601132277627933,-0.030628478832167863
1997-12-31,-0.015450411192299063,-0.01050149154193289,0.012493523887910363,0.0006243484388552267,0.016220219084133236
1998-03-31,0.012441990324705499,-0.0015532325247396561,-0.005105916960987833,-0.00011037170657896,-0.018199190532011522
1998-06-30,-0.0089149497465415,-0.014208922224610843,0.0025865188309941445,-0.00015475213608895366,-0.01544497068243919
1998-09-30,-0.04276821348083337,-0.025260491675130003,-0.005942191199159008,0.00045411151870189403,0.012490012644059217
1998-12-31,0.014676025238324342,-0.004761600459326831,-0.020677124549501158,-0.0006606124700108684,-0.005238810591461862
1999-03-31,0.005380512791009373,-0.01461773283434653,-0.00996072036306811,-0.0010213022308493969,-0.02278534299724108
1999-06-30,-0.0009874037410912972,0.03192886757537344,-0.006429022581145999,-0.0005345676237381025,-0.021204634321707633
1999-09-30,-0.026352257850093652,0.016338439328057897,-0.0134853787514701,-0.00040030296043108704,0.0008518492691259316
1999-12-31,0.006589735396021812,0.0026789389054654444,-0.018539251443384752,-0.002212591836907113,-0.0187595326107948
2000-03-31,-0.00632304705015474,0.01243455556139228,-0.0028660125499697653,-0.002236912179007483,0.011557582359428657
2000-06-30,-0.016628023699773564,0.006830583159142534,0.005234196416352803,0.000962944252911796,0.018711314642985484
2000-09-30,-0.014770766171909644,4.703471797462555e-05,0.03107664208253519,0.0009152098411204235,0.08784842288059913
2000-12-31,-0.025914614232656286,0.006222795215974131,0.04616304696328988,0.0030837085258499375,0.1636348302035301
2001-03-31,-0.029663370494275476,0.041502699197091875,0.028040056175869243,0.0007434554207337296,0.16686617824139444
2001-06-30,0.005059672511473323,0.03716304288817503,-0.0010697364256986863,-0.0003270648262321263,0.08999599763174226
2001-09-30,-0.027640965465462686,-0.005252867025798469,0.005945935424329751,0.0019265423791513525,0.11499664521212216
2001-12-31,0.01573543934423649,0.023938033853279528,-0.014234251725139424,-0.0008618475331609865,0.007918900006108398
2002-03-31,-0.0019735426737063078,0.018917105389371698,0.00047855526879125865,0.0009757930016042193,0.057577943538911935
2002-06-30,-0.01956927581851242,0.011235116330281264,0.0003768132410960634,0.0010709704570166512,0.0680959209885067
2002-09-30,-0.029050938178878938,-0.012575288756073402,-0.006788581840943886,0.0006989320152001044,-0.019455683049003802
2002-12-31,0.014638946981590295,-0.008144535801612923,-0.010056364247485239,-0.0009877128520205947,-0.027776721198227272
2003-03-31,0.00018039699119754005,-0.002662761319865023,-0.013146542537004646,-0.00010433622857386471,-0.04945082198589523
2003-06-30,0.02565177356346371,0.010095240968877484,-0.0037388031582374914,-0.001230901941183693,-0.04278381131485476
2003-09-30,0.00938042060573474,0.015269293542278267,-0.004985513290873711,-0.0007849171764195972,-0.021020969475749718
2003-12-31,0.014936762627335454,0.004805838578178068,0.0008779689212490283,-0.00025468931242655923,-0.001388377554155773
2004-03-31,0.005284910207273064,0.0020840439244964593,0.0002125484226331853,-1.2343136098547092e-05,-0.019503380267430814
2004-06-30,0.00380011552292292,-0.0041237263120094125,-0.0064015153825504045,0.0002483635049599364,-0.061321844048158325
2004-09-30,-0.004426762227240699,-0.0063150763603894156,0.0003714569317136984,0.00030849869417903797,-0.08236735967089703
2004-12-31,0.010102048561412724,0.001902940719583468,-0.00017551496314793802,-0.00018152773773938424,-0.06387676931808617
