,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Beta-neutral,Kalman - Beta-neutral,Kalman - Beta-neutral,Kalman - Beta-neutral,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral
,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA
2002-06-30,0.7294101972340553,-0.571637822464836,0.442205025663344,-0.11954510800818675,0.2001547738038157,-0.7319919828048771,1.0868982199489758,-0.35090617981531463,-1.322209356793832,0.8313633239731513,0.14372811225129709,-0.8114128213920121,0.36478070054969775,2.0135772568817845,0.45116165839422295,-0.9244794683908274,0.4428945954560802,1.4750240938584365,0.6594003982862872,0.043669620373609615,0.4209763911584465,0.3150261943557441,0.39246771100194316,0.2,0.2,0.2,0.2,0.2,0.10833119365725805,0.8873561023997631,0.28705902773931635,-0.7317925449396937,0.25,0.25,0.25,0.25
2002-09-30,0.8636851858721284,-0.2907460042575207,0.12635579007198358,-0.2220130624742951,1.026295613287807,-0.41854088706842035,0.9881878415253825,-0.7514534698218697,-0.5843510398697623,0.8522084508753006,0.0814070005566756,-0.8111879711794447,0.3118588802856726,2.0321203930917866,0.3305893082820318,-0.9114533056097608,0.3363077197630725,1.4589789296215487,0.4333400690659698,0.2128532964964931,-0.37431275648257645,0.7846696451317491,0.7542377721772173,0.2,0.2,0.2,0.2,0.2,0.24764870282751408,-0.22683975133266837,0.7906142052879929,0.13205916583126676,0.25,0.25,0.25,0.25
2002-12-31,0.7524486583793755,-0.23633724746544063,0.10521989726361672,-0.05913348179839098,0.9199693127687797,-0.21030611616789743,0.7218965585820326,-0.7308311805979841,0.16254083614754755,0.6377301511604593,-0.09515645146465807,-0.5697273176771054,0.7935398314393663,0.9446635357127462,0.04917246764050668,-0.6370045030918574,0.9223831177414687,0.3488912197349405,-0.09676316393767055,0.29781942664978506,0.2984452839206946,0.030357168627166656,0.38891461192811744,0.2,0.2,0.2,0.2,0.2,0.2879906116839748,0.27835367714208764,0.07282669656126142,0.48146972828061635,0.25,0.25,0.25,0.25
2003-03-31,0.7484707026042842,-0.03262144936199375,-0.12889105153964422,0.4278614379585777,0.994464697405823,0.2778322038582218,0.06126898887660566,0.37546568612955084,0.5273012385956034,0.6511150126232441,-0.0714966961658255,-0.8766821182983766,0.49589430457052647,1.5285075102771175,0.09304529677825032,-1.2165292733708086,0.4238551374485701,1.3975560761322794,-0.04988940901411628,0.186096424522558,-0.1977391750497125,0.007971719037948818,1.06289541483226,0.2,0.2,0.2,0.2,0.2,0.1810941709627263,-0.20715861002672886,0.03190991093851498,1.1054837203949621,0.25,0.25,0.25,0.25
2003-06-30,0.6968551725799882,0.045114119987343645,-0.28827002697482784,0.5444504888697809,1.1060321330831893,0.33804592413706125,-0.23525355276097104,0.5318307071792533,0.6999517273651064,0.5384368834487238,0.031737926426608054,-0.9431177085109907,0.8042510123777155,1.1199672855435598,0.17944282885514867,-1.080650266334133,0.7961802994036448,0.7311249950565308,0.09570104191518694,0.21810277044814189,-0.7699416122967423,0.8956130124960756,0.6690232237722711,0.2,0.2,0.2,0.2,0.2,0.23071257343038326,-0.7600263178621525,0.8588342443962503,0.5953081980987968,0.25,0.25,0.25,0.25
2003-09-30,0.537132052475665,0.12130402081359581,-0.4513666504164392,0.8139126770210763,0.9608191900718196,0.3284186438492199,-0.4296783464602744,0.7569898597223543,0.574472660886046,0.6680022199614479,0.17758424662009226,0.17067963938372513,0.19373408250545196,0.6529476286119013,0.5893174259169729,0.5904110395042972,-0.20383762534898703,-0.014161377683806818,0.4076557127690673,0.18559747660753032,-0.5514719068761659,0.4322038280112553,1.3361648145245721,0.2,0.2,0.2,0.2,0.2,0.29215425177526094,-0.5369007985274525,0.21433996079977602,1.230121612369197,0.25,0.25,0.25,0.25
2003-12-31,0.5375170090948886,0.07277327858734922,-0.371677318049104,0.8554904622145767,0.8157752763268857,0.26211625479237205,-0.3210348917284191,0.8067323929725089,0.37792237457815897,0.6605919774232342,0.20994836365286135,-0.5828822651229539,0.4189813272849877,1.4053242626022575,0.6180273254359241,-0.7203353399289931,0.19352574582325296,1.2810753916541906,0.3918439119005583,0.23648233148055683,-0.8343183376686577,0.624951615146338,1.3412543864849629,0.2,0.2,0.2,0.2,0.2,0.34325428609213343,-0.857412663925416,0.44635973575169124,1.223809709611322,0.25,0.25,0.25,0.25
2004-03-31,0.49509906338004217,0.09630470742747187,-0.3128614467418546,0.8753340513338295,0.7040336297792297,0.27250212165341314,-0.22958577558678311,0.8060205738747289,0.2783349802951967,0.6903878325052492,0.047022996362821555,-0.17155183184721612,0.42061700060326396,1.0577099608178657,0.4168784795822681,0.02568827262136339,0.16484701314902145,0.7513000263738483,0.5641744549922073,0.08109554613245927,-0.38952487679171094,0.39608780626408097,1.19237969332696,0.2,0.2,0.2,0.2,0.2,0.25691548924147334,-0.32833357820044523,0.025625207329789082,1.1981145705372596,0.25,0.25,0.25,0.25
2004-06-30,0.48344135425603857,0.18890760456373037,-0.48786838862846377,0.8087596021720258,1.0311863582438798,0.37813362401939116,-0.4512276680281183,0.7162063497789788,0.6990079712891029,0.7130894103108165,0.033499832875024026,-0.07630613244845635,0.5238656069996981,0.8268731702502805,0.4294070024377652,0.2344693594009164,0.37734728433204284,0.28068107991921765,0.6284054650235754,0.06579212670842961,-0.39147660566436987,0.474848908464861,1.0901886981807742,0.2,0.2,0.2,0.2,0.2,0.29820243541438063,-0.38064514147726075,0.1049784726209385,1.1727394405434564,0.25,0.25,0.25,0.25
2004-09-30,0.44747354501462777,0.277844953205616,-0.6167944431301196,0.6479153179730628,1.342482211793762,0.45946473026868795,-0.5989667772892431,0.5115553091457079,1.0925751363282277,0.6911814384779728,0.033741476016699135,-0.3818559761509465,0.8291222297120002,0.6944279725498749,0.37417600598974415,-0.3827063122859015,0.9262243950298298,0.056956878847069875,0.6376328092541351,0.1148777027003369,-0.4587748842140779,0.593310395022826,1.0121807963708855,0.2,0.2,0.2,0.2,0.2,0.39583253220531117,-0.5100053507096738,0.30884229203594527,1.0705647028090126,0.25,0.25,0.25,0.25
