Portfolio,Sharpe (ann.),"CER (%, ann., gamma=3)",Max drawdown (%),Avg quarterly turnover
Static - Unconstrained,0.03774017714099752,-1.915927109505594,-54.212079650997744,0.9064029970678673
Static - Beta-neutral,-0.4752133188681455,-7.066257579966057,-75.10967954442789,0.8663537708329004
Kalman - Unconstrained,0.6845130824952861,6.362639982451619,-29.246217080353475,0.8707419744003623
Kalman - Beta-neutral,0.33288611270566193,1.8254728728299732,-31.689652095804888,1.1470661102550637
LASSO - Unconstrained,0.4691508661119344,3.5395643568744015,-26.5267476395493,1.3851699449538775
Benchmark (EW) - Unconstrained,0.6068754574937814,3.280885902298686,-14.582092870645669,0.03845300396360637
LASSO - Beta-neutral,0.1939935441902297,0.25898822134865634,-25.582768453968352,1.4782984990239567
Benchmark (EW) - Beta-neutral,0.3863669548889451,2.057729247701844,-23.793027087871586,0.029079788888143453
