,MKT_RF,SMB,HML,RMW,CMA,95% CV
r = 0,85.8011791690608,92.1780550961704,86.32868689952875,84.12406948489632,88.52873536534098,79.3422
r <= 1,51.74303063576646,46.129285912894,54.02112028343755,48.293733496838364,50.20475559316175,55.2459
r <= 2,25.884026156623005,23.303019979683977,29.224914008846984,21.902094911043502,26.24898964301229,35.0116
r <= 3,8.005231258130733,7.645323589023308,10.473152618892522,6.460184111713532,8.499398383845985,18.3985
r <= 4,0.5395576947491532,0.27979619460339294,1.755428045775358,0.3180314419800366,0.2985057445174046,3.8415
