,MKT_RF,SMB,HML,RMW,CMA
1990-03-31,-0.08755533780256719,0.10646041837486396,0.06505933607676943,-0.06987798547385585,0.11310888409820116
1990-06-30,-0.07426989405703319,0.10870342312143724,-0.007880374022990896,-0.054729810695352855,0.08779315416235646
1990-09-30,-0.33194097526145366,0.05561466358117079,0.053955400615574356,-0.05922083272920009,0.21263899958024504
1990-12-31,-0.07087948666444166,-0.15788871606511964,-0.10972636133658278,-0.05131638475451937,0.03778350961377661
1991-03-31,0.017236979080055614,0.012727723826833896,-0.09194553819729744,-0.04422123422512117,0.01512513944230999
1991-06-30,-0.10347344044662928,0.09435919130224225,-0.017185581098573544,0.011225803818447067,0.046394091282805555
1991-09-30,-0.06486880253760133,0.10028547253174255,-0.0625519953707014,0.008677501025531387,0.015716030807190945
1991-12-31,0.010073858600048002,0.04858956177785802,-0.15182296046587515,0.026699516218685992,-0.041574342667817635
1992-03-31,-0.06803620453233566,0.15506464482786259,-0.005505974398039057,0.01622885517795719,0.033618232499918285
1992-06-30,-0.11322337939353357,0.05961776876935608,0.06224293103044119,0.02006250677551452,0.0589269771577545
1992-09-30,-0.06733906445921664,-0.006262079747152441,-0.011094446689269885,0.06916004909863757,-0.017222725214437528
1992-12-31,-0.024489500225276933,0.056748338299336995,-0.035544139759745144,0.06528627004253854,-0.04692839529628845
1993-03-31,-0.04990906475762469,0.054035196487521336,0.0949156284463054,0.04170736471301295,0.030769607593329015
1993-06-30,-0.06238253263460852,0.04112670156987749,0.08104471313435602,-0.014929880994313,0.022872257773568813
1993-09-30,-0.07734651607526288,0.08475262243491724,0.09900981536908462,-0.04763702041201828,0.03572819400712686
1993-12-31,-0.11154029327815579,0.11687544077832299,0.06752743456472485,-0.01049697799359775,0.028567073272446356
1994-03-31,-0.23564575408204286,0.16769682850682782,0.09591748226886868,0.006431281282115481,0.06062317707616474
1994-06-30,-0.2736079403081919,0.11183854344864214,0.11404294557055489,0.026757571155434645,0.07583008346905631
1994-09-30,-0.16989712623794764,0.057230724554332146,0.012735714016237826,0.011349224808081565,0.019255038822458395
1994-12-31,-0.22175464400265163,0.04636211258617223,-0.006674224770924775,0.01837745270665156,0.011391401059946737
1995-03-31,-0.15476052633807252,0.00490909872508042,0.007896681962469149,0.014958946322351035,-0.0017356886779627961
1995-06-30,-0.07671006491948185,-0.007340429096407204,0.001469091980416809,0.00722310131417403,-0.03576265821015754
1995-09-30,-0.0208931879488935,0.02225118764318558,0.015158931193996805,-0.0026805800685854586,-0.03341160521467891
1995-12-31,-0.0035179746326129413,-0.013934575169383123,0.022632988341814014,-0.014040575799135174,0.004641980523644285
1996-03-31,0.035439737607725286,-0.008286997329754055,0.01685532066099285,-0.009255942633772052,-0.008719347943042993
1996-06-30,0.07616860681335424,0.006369634640039902,-0.03851656065986804,0.007679991933095098,-0.044892103380600304
1996-09-30,0.05826021993938996,-0.012134396400005552,-0.028506439773701625,0.039598479403429865,-0.06918272277961302
1996-12-31,0.13935024381197686,-0.09851793724291928,0.004768025449226332,0.0566011974020863,-0.06645663561082019
1997-03-31,0.12328645549731632,-0.1589645393190927,0.05226133360697949,0.06766889974872253,-0.037800072581120864
