,MKT_RF,SMB,HML,RMW,CMA
const,0.07873077158756508,-0.11057948878836077,-0.12035637625151255,0.06881116581965321,-0.14356796389402554
trend,0.03207459454522381,-0.015029077894256167,-0.04051617712987145,0.008096645816924868,-0.021564830567466338
OIL_WTI_LOGRET,-0.27427258318414516,0.2464331740292654,0.18722432607333306,0.06110989495837189,0.14994998882667349
POT_GDP_GROWTH,1.2212131031387066,0.1888074008462612,6.137917307330097,-0.07580398149875786,3.249214334394332
TERM_SPREAD_10Y3M,-0.0002572775060461791,0.009319966720325867,0.009046365538067772,-0.0014309323552581317,0.005851568716318208
LIQUIDITY_proxy_negTED,0.0380349629868358,0.002692634940521044,0.021796672842882857,-0.006566097444193798,0.0075134200672747654
R2,0.9484238906595053,0.7946609722276039,0.8281129621175056,0.9460955585741769,0.9142423578715139
N obs,146.0,146.0,146.0,146.0,146.0
