Portfolio,Sharpe (ann.),"CER (%, ann., gamma=3)",Max drawdown (%),Avg monthly turnover
Beta-neutral,0.5647461065035223,4.547534547254912,-23.537902661754362,1.1114473118628048
Unconstrained,0.919302419878651,8.749129283574486,-21.77883242115103,0.8891886736125311
Benchmark (EW),0.6947299459103755,3.343542488691536,-15.084396321734205,0.02101420844956067
