Factor,delta,delta_se (HAC),p-value (HAC),R2,N obs
MKT_RF,-0.14548049590749354,0.038575201523859265,0.0001623682724972054,0.0949845153113924,145
SMB,-0.06312042323265345,0.046079298134178034,0.17074256153060663,0.01597124390366822,145
HML,-0.18000432427781643,0.06611972446236165,0.006480968490068499,0.09177873494241362,145
RMW,-0.1656537283178482,0.07125246010780067,0.020078145842254307,0.09192179976870563,145
CMA,-0.1352787608193906,0.06005647583222732,0.024289064664334784,0.06777716989086113,145
